,Laptop,Price
29,"Hp 250 G7 - 15.6"" - Intel Core i5 - 1TB HDD - 8GB RAM - Windows 10 - GrayGH₵ 4,225.00GH₵ 4,450.005%Add To Cart","GH₵ 4,225.00"
30,"Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10  – SilverGH₵ 3,399.00Add To Cart","GH₵ 3,399.00"
31,"Shipped from abroad10.1 inch  Netbook PC -1GBRAM - 8GBROM - Android 6.0  - BlackGH₵ 779.00GH₵ 1,038.0025%Add To Cart",GH₵ 779.00
32,"DELL Vostro 3000 Series - 11th Gen Intel Core  i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - GrayGH₵ 3,295.00GH₵ 3,855.0015%3.3 out of 5(3)Add To Cart","GH₵ 3,295.00"
33,"DELL Vostro 3500 - 11th Generation Intel Core i5-1135G7 - 1TB HDD -4GB RAM -15.6"" - Windows 10 - GrayGH₵ 3,900.00GH₵ 4,200.007%Add To Cart","GH₵ 3,900.00"
34,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 11 Pro - Iron GrayGH₵ 2,950.00offers from5 out of 5(1)Add To Cart","GH₵ 2,950.00"
35,"Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog BlueGH₵ 6,990.00Add To Cart","GH₵ 6,990.00"
36,"Hp Pavilion x360 14-DH2051WM - 10th Gen- 8GB Ram-256GB SSD - Natural SilverGH₵ 100,000.00Add To Cart","GH₵ 100,000.00"
37,"Shipped from abroad360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)GH₵ 499.00GH₵ 997.0050%Add To Cart",GH₵ 499.00
38,"Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - SilverGH₵ 5,000.00offers fromAdd To Cart","GH₵ 5,000.00"
39,"Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet RedGH₵ 2,698.005 out of 5(3)Add To Cart","GH₵ 2,698.00"
